model,temperature_dir,temperature,mean_accuracy,mean_brier_score,mean_ece,total_missing,runs
GPT-OSS-120B,temperature_00,0.0,0.8208157524613219,0.16633544303797393,0.12432348804500909,0,9
GPT-OSS-120B,temperature_025,0.25,0.8170182841068918,0.16619097749648293,0.12142545710267427,0,9
GPT-OSS-120B,temperature_075,0.75,0.8204641350210972,0.1664711040787613,0.12200492264416475,0,9
GPT-OSS-120B,temperature_125,1.25,0.8177215189873418,0.16811831926863485,0.12349718706047967,0,9
GPT-OSS-120B,temperature_175,1.75,0.809774964838256,0.17298851863572354,0.12746350210970558,0,9
GPT-OSS-120B,temperature_2,2.0,0.7827004219409283,0.18606707004219353,0.06978846694796154,0,9
Qwen2.5-7b-instruct,temperature_000,0.0,0.7340365682137835,0.19959083333333164,0.11206610407877199,0,9
Qwen2.5-7b-instruct,temperature_025,0.25,0.7293055655763186,0.20347338071595258,0.11812783019751236,1,9
Qwen2.5-7b-instruct,temperature_075,0.75,0.727547611985367,0.20378821508164757,0.11559349594582974,1,9
Qwen2.5-7b-instruct,temperature_125,1.25,0.7273558368495077,0.20178396800281176,0.10730274261603806,0,9
Qwen2.5-7b-instruct,temperature_175,1.75,0.7188907627278273,0.20664941398964895,0.11266546613399199,5,9
Qwen2.5-7b-instruct,temperature_200,2.0,0.71532998347748,0.20865054101184677,0.1147061990024163,11,9
Qwen3-32B,temperature_0,0.0,0.7124472573839663,0.2135401391701831,0.11228783403656625,0,9
Qwen3-32B,temperature_025,0.25,0.710900140646976,0.2141122661040789,0.11086652601968854,0,9
Qwen3-32B,temperature_075,0.75,0.7085091420534458,0.21873967862165988,0.1156786216596332,0,9
Qwen3-32B,temperature_125,1.25,0.699929676511955,0.22321561350211028,0.12044247538677896,0,9
Qwen3-32B,temperature_175,1.75,0.6925637052017894,0.22882166708438184,0.1300650631165612,9,9
Qwen3-32B,temperature_2,2.0,0.6930288244421113,0.23202122979196135,0.13720102112941596,36,9
