model,temperature_dir,temperature,variant,n_scored,n_missing,accuracy,brier_score,ece
Qwen2.5-7b-instruct,temperature_000,0.0,variant0_neutral_baseline,1580,0,0.7544303797468355,0.18738286392404946,0.09783860759494593
Qwen2.5-7b-instruct,temperature_000,0.0,variant1_predicted_event,1580,0,0.7322784810126582,0.1976325316455682,0.10772151898735166
Qwen2.5-7b-instruct,temperature_000,0.0,variant2_key_attribute,1580,0,0.7329113924050633,0.19813083860759348,0.11496518987342656
Qwen2.5-7b-instruct,temperature_000,0.0,variant3_reasoning_type,1580,0,0.7348101265822785,0.19784558544303654,0.09798417721519906
Qwen2.5-7b-instruct,temperature_000,0.0,variant4_credibility,1580,0,0.7354430379746836,0.1993582911392385,0.105411392405074
Qwen2.5-7b-instruct,temperature_000,0.0,variant5_key_conditions,1580,0,0.7050632911392405,0.21934343354430152,0.14912341772152873
Qwen2.5-7b-instruct,temperature_000,0.0,variant6_step_by_step_reasoning,1580,0,0.7367088607594937,0.20052672468354243,0.11968037974684462
Qwen2.5-7b-instruct,temperature_000,0.0,variant7_uncertainty_language,1580,0,0.7316455696202532,0.19868658227847918,0.10715189873418651
Qwen2.5-7b-instruct,temperature_000,0.0,variant8_temporal_anchors,1580,0,0.7430379746835443,0.19741064873417527,0.10871835443039081
Qwen2.5-7b-instruct,temperature_025,0.025,variant0_neutral_baseline,1580,0,0.7449367088607595,0.19638818037974473,0.11034493670887072
Qwen2.5-7b-instruct,temperature_025,0.025,variant1_predicted_event,1579,1,0.7251424952501583,0.2041737808739693,0.11774540848639414
Qwen2.5-7b-instruct,temperature_025,0.025,variant2_key_attribute,1580,0,0.7215189873417721,0.20999873417721318,0.1315443037974779
Qwen2.5-7b-instruct,temperature_025,0.025,variant3_reasoning_type,1580,0,0.7341772151898734,0.19837588607594778,0.09856329113924953
Qwen2.5-7b-instruct,temperature_025,0.025,variant4_credibility,1580,0,0.7386075949367089,0.1977844936708841,0.10228481012659313
Qwen2.5-7b-instruct,temperature_025,0.025,variant5_key_conditions,1580,0,0.6974683544303798,0.2234853322784786,0.15746518987342725
Qwen2.5-7b-instruct,temperature_025,0.025,variant6_step_by_step_reasoning,1580,0,0.7341772151898734,0.2014442405063269,0.12196835443038859
Qwen2.5-7b-instruct,temperature_025,0.025,variant7_uncertainty_language,1580,0,0.730379746835443,0.1992383069620235,0.10861075949368024
Qwen2.5-7b-instruct,temperature_025,0.025,variant8_temporal_anchors,1580,0,0.7373417721518988,0.20037147151898538,0.11462341772152969
Qwen2.5-7b-instruct,temperature_075,0.075,variant0_neutral_baseline,1580,0,0.7411392405063291,0.19738107594936566,0.1092594936708937
Qwen2.5-7b-instruct,temperature_075,0.075,variant1_predicted_event,1580,0,0.7253164556962025,0.20421487341772013,0.11500632911393226
Qwen2.5-7b-instruct,temperature_075,0.075,variant2_key_attribute,1580,0,0.7215189873417721,0.2089744936708845,0.12542405063291906
Qwen2.5-7b-instruct,temperature_075,0.075,variant3_reasoning_type,1580,0,0.7322784810126582,0.19819829113923945,0.09425949367089308
Qwen2.5-7b-instruct,temperature_075,0.075,variant4_credibility,1580,0,0.7398734177215189,0.19748253164556784,0.09849367088608484
Qwen2.5-7b-instruct,temperature_075,0.075,variant5_key_conditions,1580,0,0.6917721518987342,0.2245507753164535,0.1581107594936787
Qwen2.5-7b-instruct,temperature_075,0.075,variant6_step_by_step_reasoning,1580,0,0.7316455696202532,0.20370799050632707,0.11955379746836185
Qwen2.5-7b-instruct,temperature_075,0.075,variant7_uncertainty_language,1579,1,0.727042431918936,0.2003684610512969,0.10951234958835408
Qwen2.5-7b-instruct,temperature_075,0.075,variant8_temporal_anchors,1580,0,0.7373417721518988,0.19921544303797306,0.11072151898735011
Qwen2.5-7b-instruct,temperature_125,0.125,variant0_neutral_baseline,1580,0,0.7417721518987341,0.19669737341772042,0.10310759493671351
Qwen2.5-7b-instruct,temperature_125,0.125,variant1_predicted_event,1580,0,0.7164556962025317,0.20811550632911274,0.11272784810127069
Qwen2.5-7b-instruct,temperature_125,0.125,variant2_key_attribute,1580,0,0.7272151898734177,0.20254585443037848,0.11317088607595356
Qwen2.5-7b-instruct,temperature_125,0.125,variant3_reasoning_type,1580,0,0.7221518987341772,0.20009849683544212,0.09552848101266241
Qwen2.5-7b-instruct,temperature_125,0.125,variant4_credibility,1580,0,0.7354430379746836,0.1962030696202519,0.09321518987342224
Qwen2.5-7b-instruct,temperature_125,0.125,variant5_key_conditions,1580,0,0.6955696202531646,0.22114210443037807,0.14766139240506815
Qwen2.5-7b-instruct,temperature_125,0.125,variant6_step_by_step_reasoning,1580,0,0.7360759493670886,0.19676367088607458,0.10744303797468674
Qwen2.5-7b-instruct,temperature_125,0.125,variant7_uncertainty_language,1580,0,0.7291139240506329,0.1993618512658222,0.09653481012658574
Qwen2.5-7b-instruct,temperature_125,0.125,variant8_temporal_anchors,1580,0,0.7424050632911392,0.19512778481012535,0.09633544303797958
Qwen2.5-7b-instruct,temperature_175,0.175,variant0_neutral_baseline,1580,0,0.7398734177215189,0.19801202151898709,0.10331518987342009
Qwen2.5-7b-instruct,temperature_175,0.175,variant1_predicted_event,1579,1,0.714376187460418,0.2078454078530712,0.111515516149464
Qwen2.5-7b-instruct,temperature_175,0.175,variant2_key_attribute,1579,1,0.7093096896770108,0.21415430652311515,0.12652944901836793
Qwen2.5-7b-instruct,temperature_175,0.175,variant3_reasoning_type,1580,0,0.7170886075949368,0.20331022151898676,0.09641772151898974
Qwen2.5-7b-instruct,temperature_175,0.175,variant4_credibility,1579,1,0.7289423685877138,0.20035575300823238,0.0968410386320485
Qwen2.5-7b-instruct,temperature_175,0.175,variant5_key_conditions,1580,0,0.6854430379746835,0.22857821202531592,0.15289556962025616
Qwen2.5-7b-instruct,temperature_175,0.175,variant6_step_by_step_reasoning,1580,0,0.7183544303797469,0.20812789356357575,0.12319072970960726
Qwen2.5-7b-instruct,temperature_175,0.175,variant7_uncertainty_language,1580,0,0.7196202531645569,0.20217759240506292,0.10343924050633133
Qwen2.5-7b-instruct,temperature_175,0.175,variant8_temporal_anchors,1578,2,0.7370088719898605,0.19728331749049338,0.0998447401774427
Qwen2.5-7b-instruct,temperature_200,0.2,variant0_neutral_baseline,1580,0,0.7379746835443038,0.20025152468354343,0.10237911392405268
Qwen2.5-7b-instruct,temperature_200,0.2,variant1_predicted_event,1580,0,0.7082278481012658,0.2104555302390992,0.11465780590717513
Qwen2.5-7b-instruct,temperature_200,0.2,variant2_key_attribute,1579,1,0.7048765041165295,0.21678446815990446,0.1318832896046342
Qwen2.5-7b-instruct,temperature_200,0.2,variant3_reasoning_type,1580,0,0.7107594936708861,0.20641619746835427,0.10451012658228012
Qwen2.5-7b-instruct,temperature_200,0.2,variant4_credibility,1580,0,0.7088607594936709,0.2130526936708853,0.11324050632911609
Qwen2.5-7b-instruct,temperature_200,0.2,variant5_key_conditions,1580,0,0.6949367088607595,0.2183212094936703,0.14241075949367268
Qwen2.5-7b-instruct,temperature_200,0.2,variant6_step_by_step_reasoning,1578,2,0.7287705956907478,0.2051927469887351,0.10997890684410813
Qwen2.5-7b-instruct,temperature_200,0.2,variant7_uncertainty_language,1578,2,0.7078580481622306,0.20945462864385284,0.11255640050697291
Qwen2.5-7b-instruct,temperature_200,0.2,variant8_temporal_anchors,1574,6,0.735705209656925,0.1979258697585762,0.10073888182973485
Qwen3-32B,temperature_0,0.0,variant0_neutral_baseline,1580,0,0.7227848101265822,0.19972935506329126,0.10436772151898446
Qwen3-32B,temperature_0,0.0,variant1_predicted_event,1580,0,0.7012658227848101,0.2148998613924052,0.11225379746835211
