dataset,feature,mean_abs_shap,mean_value,mean_value_correct,mean_value_incorrect,correct_minus_incorrect,value_shap_correlation
combined_mean,plausibility,0.0721604645038259,0.7386189063807134,0.7808483222888397,0.6283841295991215,0.15246419268971823,0.9036533273648429
combined_mean,completeness,0.0713763094256583,0.6751578066773138,0.7159145892500263,0.568767160900604,0.1471474283494223,0.8118740968324599
combined_mean,non_hallucination,0.021287995395773335,0.6576621796334322,0.6924634479856947,0.5668176825919824,0.1256457653937123,-0.8557992222808526
combined_mean,informativeness,0.019903574387833606,0.6749676781504298,0.7094509308930262,0.5849533223503571,0.12449760854266911,0.32697983549598236
combined_mean,source_consistency,0.01598022731926153,0.6716271199330748,0.7124382034290522,0.5650947281713343,0.14734347525771785,0.520267650902544
combined_mean,conciseness,0.012046359631916378,0.9083200243364514,0.9148548437993057,0.8912616694124107,0.02359317438689501,0.7506023679544651
gemma-4-31b-it,plausibility,0.09238054133548718,0.819093204909849,0.8611320150508366,0.7033289241622576,0.15780309088857902,0.7897892269598925
gemma-4-31b-it,completeness,0.056230706069820745,0.7935807834615611,0.8311184052517813,0.6902116402116403,0.140906765040141,0.6915230130426925
gemma-4-31b-it,source_consistency,0.0231067359854713,0.7801844129911317,0.8150348250740533,0.684215167548501,0.13081965752555236,0.7685085980753841
gemma-4-31b-it,informativeness,0.018994543458525685,0.783884418864157,0.8205668081018334,0.6828703703703703,0.137696437731463,0.46955320781107773
gemma-4-31b-it,non_hallucination,0.012357594449343416,0.7323016385740294,0.7624849891922183,0.64918430335097,0.1133006858412483,-0.34159596306988843
gemma-4-31b-it,conciseness,0.010262525804921745,0.9806953661831209,0.9827315667280442,0.9750881834215167,0.007643383306527474,-0.852494961738782
kimi-k2.5,completeness,0.07958363113381509,0.5728800669252415,0.6164931103397496,0.4590334980779791,0.15745961226177052,0.8764582813856986
kimi-k2.5,plausibility,0.05243615950354459,0.6690774963875581,0.7109024928999684,0.559898407468424,0.15100408543154442,0.8887960041441582
kimi-k2.5,informativeness,0.020947819321761582,0.5829949045554794,0.6155674765961922,0.49796814936847883,0.11759932722771332,0.3042899293591609
kimi-k2.5,non_hallucination,0.018680780616324468,0.5809567267472812,0.6212159461449458,0.4758649093904448,0.145351036754501,-0.7261923193866197
kimi-k2.5,conciseness,0.018662541824630584,0.8374096889497302,0.8481908067739561,0.8092668863261944,0.03892392044776172,0.7926222148489127
kimi-k2.5,source_consistency,0.01631724435873665,0.5714997338200624,0.618291785000526,0.4493547501372872,0.16893703486323874,0.2775823386280613
