dataset,feature,mean_abs_shap,mean_value,mean_value_correct,mean_value_incorrect,correct_minus_incorrect,value_shap_correlation
combined_mean__judge_only,completeness,0.07831941978717012,0.7294932836345736,0.7696130687987366,0.6300672700587084,0.13954579874002815,0.6568824062943176
combined_mean__judge_only,plausibility,0.06518052375679399,0.776815176876011,0.8120205310433324,0.6895682485322897,0.12245228251104268,0.7702639240687152
combined_mean__judge_only,informativeness,0.03723739816614925,0.7306294394823827,0.765249235021222,0.6448336594911938,0.12041557553002824,0.6218499040871577
combined_mean__judge_only,conciseness,0.027107154182735505,0.9087541317954849,0.9168507551080841,0.8886888454011742,0.028161909706909904,0.557459944262369
combined_mean__judge_only,non_hallucination,0.023325556079711908,0.6525666361910121,0.6894225644062777,0.5612292074363993,0.12819335696987844,-0.8462770594861543
combined_mean__judge_only,source_consistency,0.013533139426276987,0.6889243266052464,0.7275140657388214,0.5932901174168297,0.1342239483219917,-0.6325279520965799
combined_mean__full,completeness,0.05497174517411857,0.7294932836345736,0.7696130687987366,0.6300672700587084,0.13954579874002815,0.6904203564159572
combined_mean__full,plausibility,0.049256606758359585,0.776815176876011,0.8120205310433324,0.6895682485322897,0.12245228251104268,0.7544387171848276
combined_mean__full,informativeness,0.03214204071866142,0.7306294394823827,0.765249235021222,0.6448336594911938,0.12041557553002824,0.6718461745755618
combined_mean__full,conciseness,0.025962191545420968,0.9087541317954849,0.9168507551080841,0.8886888454011742,0.028161909706909904,0.6733022144624395
combined_mean__full,evidence_words,0.014760059933768721,251.4061467051129,255.9106702201165,240.2429060665362,15.667764153580293,0.3510192095690852
combined_mean__full,source_consistency,0.010023996778376098,0.6889243266052464,0.7275140657388214,0.5932901174168297,0.1342239483219917,0.1806628904747412
combined_mean__full,non_hallucination,0.007916768760740095,0.6525666361910121,0.6894225644062777,0.5612292074363993,0.12819335696987844,-0.4521384462836188
combined_mean__full,cat_finance,0.007633523467935101,0.2171038750967016,0.2439048465107097,0.1506849315068493,0.0932199150038604,0.9459224479628696
combined_mean__full,cat_artificial-intelligence,0.00676691030363164,0.09177860609044236,0.07314184187148356,0.1379647749510763,-0.06482293307959275,-0.9633901121116221
combined_mean__full,rationale_words,0.005479754809318244,58.28293128912019,57.4435889843056,60.363013698630134,-2.919424714324535,-0.8141741544905347
combined_mean__full,cat_politics,0.0027919646605641616,0.1392502988958436,0.14539532129108676,0.12402152641878669,0.021373794872300067,0.8933118180713822
combined_mean__full,cat_economy-business,0.0027368127433594117,0.1987481538786131,0.19622939492646332,0.20499021526418787,-0.008760820337724545,-0.15187995799491166
combined_mean__full,cat_space,0.0015399817104796213,0.03924326605246501,0.03375777317145395,0.05283757338551859,-0.019079800214064635,-0.8205938202258687
combined_mean__full,cat_health-pandemics,0.001472012468442471,0.07082073282228005,0.06179054387523443,0.09319960861056752,-0.031409064735333087,-0.8612446963472196
combined_mean__full,cat_sports-entertainment,0.0013782850590794947,0.04557282509318517,0.0483664001579311,0.038649706457925634,0.009716693700005469,0.8736752679059595
combined_mean__full,cat_geopolitics,0.0012520322700313078,0.16899922638722836,0.16553153686704175,0.17759295499021527,-0.012061418123173517,0.3773451268195465
combined_mean__full,variant_variant4_credibility,0.0011919816454317093,0.11111892538153176,0.11538841180534992,0.10053816046966732,0.014850251335682602,0.8550859622577752
combined_mean__full,cat_law,0.0008046496342270713,0.0696251494479218,0.06573882143914717,0.07925636007827788,-0.013517538639130716,-0.5571386106108218
combined_mean__full,cat_environment-climate,0.0005868085651418326,0.02785005977916872,0.024479320896259007,0.036203522504892366,-0.011724201608633359,-0.49078377281505153
combined_mean__full,cat_technology,0.0005416682366904891,0.04810464870947324,0.048267693218833285,0.047700587084148725,0.0005671061346845599,0.8071353710041309
combined_mean__full,cat_other,0.0005055096847712863,0.023419368450664602,0.02487414865265028,0.01981409001956947,0.005060058633080809,0.8474696357216327
combined_mean__full,cat_elections,0.0004960457772610134,0.11076728321260286,0.10986082321587208,0.11301369863013698,-0.0031528754142648996,0.2621472015334907
combined_mean__full,variant_variant3_reasoning_type,0.00015339672757252258,0.11111892538153176,0.10897246076399171,0.11643835616438356,-0.007465895400391845,-0.6814473129785822
combined_mean__full,variant_variant5_key_conditions,0.0001511760215246414,0.11104859694774598,0.10916987464218735,0.11570450097847358,-0.006534626336286237,-0.6794238926513348
combined_mean__full,variant_variant8_temporal_anchors,0.0001347848912213733,0.11111892538153176,0.11331556608429573,0.10567514677103718,0.0076404193132585535,0.7147454831056443
combined_mean__full,variant_variant7_uncertainty_language,0.00011623196171382451,0.11111892538153176,0.11025565097226335,0.11325831702544031,-0.003002666053176964,0.6017829477235564
combined_mean__full,variant_variant6_step_by_step_reasoning,0.00010287186721816104,0.11111892538153176,0.1099595301549699,0.11399217221135029,-0.004032642056380389,-0.5721772299720074
combined_mean__full,variant_variant2_key_attribute,7.558274406220602e-05,0.11111892538153176,0.11084789260685027,0.11179060665362035,-0.0009427140467700851,0.01550009669548355
combined_mean__full,variant_variant1_predicted_event,6.72392054531244e-05,0.11111892538153176,0.10936728852038298,0.11545988258317025,-0.006092594062787268,-0.13080356990416322
combined_mean__full,temperature,0.0,0.0,0.0,0.0,0.0,0.0
combined_mean__full,output_valid,0.0,1.0,1.0,1.0,0.0,0.0
