,importance
price_to_book,0.1865998218761697
ma_ratio_50_200,0.12680679472210546
mom_252d,0.12453037778263298
roe,0.1136428294325287
eps_surprise,0.09220241695834847
revenue_growth_snap,0.08107666954207932
vol_63d,0.07488742696444856
mom_126d,0.06516420637328282
mom_63d,0.049123921278231404
eps_surp_4q_avg,0.042521415285003715
vol_adj_mom63,0.013592543837614279
mom_42d,0.010330630732892561
vol_21d,0.0076142511696065205
net_margin,0.006413485741607493
mom_10d,0.002885959302797456
mom_21d,0.0016981333077425304
bb_pos,0.0005167859870755807
rsi_14,0.00023038261753768522
mom_5d,0.00016194708829478719
