ticker,rank,score,ma_ratio_50_200,mom_12m,mom_6m,mom_3m,vol_63d
VEDL,1,0.6496,-0.1953,-0.3057,-0.4630,-0.5496,1.3694
ADANIPOWER,2,0.6248,0.3382,1.0584,0.5947,0.5043,0.3939
ADANIGREEN,3,0.6192,0.2567,0.5145,0.4612,0.6856,0.4723
DIVISLAB,4,0.6123,0.0369,0.0160,0.0623,0.1079,0.2017
GRASIM,5,0.6102,0.0470,0.1686,0.1252,0.1566,0.2588
SUNPHARMA,6,0.6073,0.0388,0.1015,0.0387,0.0337,0.2482
ASIANPAINT,7,0.6068,0.0120,0.2193,-0.0208,0.2081,0.2827
ADANIPORTS,8,0.6055,0.1386,0.3159,0.2295,0.3147,0.3088
SAIL,9,0.6036,0.2174,0.4141,0.3884,0.1660,0.4401
AXISBANK,10,0.6034,0.0347,0.1182,0.1134,0.0835,0.2846
ZYDUSLIFE,11,0.6020,0.0508,0.1115,0.1711,0.1903,0.2664
MARICO,12,0.6001,0.0641,0.1945,0.1059,0.0808,0.1859
APOLLOHOSP,13,0.5995,0.0594,0.1965,0.2055,0.1363,0.2087
PAGEIND,14,0.5991,0.0124,-0.1231,0.0906,0.3152,0.2736
BAJAJ-AUTO,15,0.5983,0.0790,0.2271,0.1332,0.1010,0.2588
NESTLEIND,16,0.5980,0.0941,0.1954,0.1466,0.1743,0.2372
PIDILITIND,17,0.5977,-0.0080,0.0609,0.0725,0.1412,0.2814
JSWSTEEL,18,0.5976,0.0704,0.2863,0.1895,0.0910,0.2489
TATASTEEL,19,0.5976,0.1100,0.3171,0.1957,0.0392,0.2518
LUPIN,20,0.5961,0.0655,0.1767,0.1248,0.0214,0.2217
TORNTPHARM,21,0.5959,0.0941,0.3669,0.1870,0.0348,0.2290
TATAPOWER,22,0.5956,0.0697,0.0133,0.0592,0.0050,0.2377
POWERGRID,23,0.5947,0.0659,0.0456,0.1351,-0.0239,0.1950
ONGC,24,0.5944,0.0971,0.0109,0.0854,-0.0708,0.2730
BOSCHLTD,25,0.5940,0.0141,0.2899,0.1043,0.3116,0.3616
TCS,26,0.5929,-0.1544,-0.3683,-0.3158,-0.1176,0.3319
JINDALSTEL,27,0.5929,0.0895,0.2356,0.1251,-0.0352,0.2870
COALINDIA,28,0.5929,0.1030,0.2249,0.1983,-0.0086,0.2451
TITAN,29,0.5926,0.0676,0.2894,0.1248,0.0662,0.3418
JSWENERGY,30,0.5921,0.0830,0.1154,0.1955,0.1236,0.3466
NTPC,31,0.5916,0.0887,0.1251,0.1482,-0.0336,0.2078
BEL,32,0.5908,0.0229,0.0640,0.1049,-0.0355,0.2486
SBIN,33,0.5906,0.0303,0.3297,0.0964,-0.0150,0.2922
LT,34,0.5898,0.0259,0.1714,0.0459,0.1781,0.3222
EICHERMOT,35,0.5895,0.0077,0.4370,0.0778,0.0830,0.3455
DRREDDY,36,0.5877,0.0180,-0.0495,-0.0038,-0.0175,0.2919
GAIL,37,0.5868,-0.0025,-0.0588,0.0654,0.1520,0.2895
HINDALCO,38,0.5848,0.1688,0.5662,0.2065,0.0825,0.3174
OBEROIRLTY,39,0.5846,0.0288,-0.1110,0.0193,0.1559,0.2940
INDUSINDBK,40,0.5843,0.0571,0.1537,0.1212,0.1250,0.3630
RECLTD,41,0.5838,-0.0002,-0.0671,0.0828,0.0309,0.3216
ATGL,42,0.5807,0.1128,0.1044,0.2397,0.4109,0.5448
HAL,43,0.5801,0.0002,-0.1193,0.0430,0.1127,0.3215
TRENT,44,0.5796,-0.1947,-0.4347,-0.2186,0.3227,0.4082
TATACONSUM,45,0.5793,0.0148,0.0346,-0.0419,0.0426,0.2742
ADANIENT,46,0.5783,0.1229,0.1949,0.3523,0.5144,0.4047
IRCTC,47,0.5781,-0.1352,-0.3157,-0.2214,-0.0382,0.2611
INDUSTOWER,48,0.5762,0.0236,0.0515,0.0075,-0.0675,0.2696
HCLTECH,49,0.5749,-0.1494,-0.3150,-0.2967,-0.1502,0.3515
ICICIBANK,50,0.5727,-0.0414,-0.0491,-0.0143,0.0444,0.2408
ITC,51,0.5727,-0.1292,-0.2665,-0.2363,-0.0118,0.1966
KOTAKBANK,52,0.5703,-0.0547,-0.0657,-0.0853,0.0635,0.2373
NAUKRI,53,0.5690,-0.1690,-0.3345,-0.2676,-0.0107,0.2782
MARUTI,54,0.5682,-0.1066,0.0806,-0.1809,0.0266,0.2627
BHARTIARTL,55,0.5680,-0.0554,0.0352,-0.0910,0.0299,0.2369
BRITANNIA,56,0.5677,-0.0639,-0.0535,-0.1436,-0.1172,0.2216
OFSS,57,0.5661,0.1482,0.0398,0.2665,0.5035,0.3691
SBILIFE,58,0.5631,-0.0416,0.0027,-0.1146,-0.0827,0.2560
HINDUNILVR,59,0.5620,-0.0523,-0.0397,-0.0379,0.0278,0.2487
