,return
0,1.1479
1,1.15352471
2,0.8417269808869999
3,0.8987118974930499
4,1.0347768787734974
5,0.861555229266814
6,1.0068995964441256
7,1.1147385432232915
8,1.1178598111443165
9,1.4033612069105752
10,1.4947200214804535
11,1.6654170479335213
12,2.1747015811915924
13,2.4263145541354594
14,2.6876286316158478
15,2.7728264592380705
16,3.5714004794986347
17,4.485321862202335
18,4.636925741144774
19,4.004912762626741
20,4.281652234524249
21,4.1621941371810225
22,4.135556094703064
23,5.268284909042233
24,6.035874020289685
25,8.272768932209043
26,7.557174419572961
27,7.542060070733815
28,7.160431831154685
29,7.24349284039608
30,7.874401066794578
31,8.390961776776303
32,10.218513251758182
33,9.638101699058318
34,9.410642498960542
35,12.732599301093613
36,13.780492223573617
37,15.614675738531265
38,17.647706519688036
39,10.435088865091537
40,11.827129719694748
41,14.911645150591136
42,13.769413132055854
43,14.523976971692516
44,16.70112111974922
45,20.17829453688101
46,28.7944263041292
47,32.520425067883515
48,34.58872410220091
49,45.43920685306133
50,61.66100369960423
51,77.34139694041357
52,84.77390518638734
53,100.78769587609591
54,104.22455630547077
55,108.32058136827575
56,119.20679979578748
57,104.6039668208035
58,109.12285818746221
59,125.0111463395567
60,122.39841338105997
61,142.2759157141441
62,121.37558369573632
63,116.1442960384501
64,99.97701002989784
65,139.57790370274037
66,153.34028500783057
67,155.67105733994958
68,129.26924601509415
69,166.34366577222315
70,170.70186981545538
71,177.87134834770453
72,264.24567510534985
73,273.7849439766529
74,301.6562512734762
75,299.0921731376517
76,336.95724225687843
77,428.03678483891264
78,474.30756127999916
79,603.5089409726709
80,648.1082517105514
81,646.9416568574724
82,710.0184684010758
83,689.2149272769243
84,729.6029220153521
85,780.3103250954191
86,773.5996562995985
87,568.441027448945
88,619.9986286385642
89,651.8045582877227
90,620.2572176665968
91,655.4878276300595
92,692.4573411083949
93,670.852672065813
94,739.6150709525588
95,679.1885196557347
96,847.4235159744602
97,778.3584994225416
98,798.1288053078744
99,787.3540664362182
100,900.1031687498846
101,890.9221164286358
102,787.3969664996283
103,963.852626692195
104,969.4429719270097
105,1024.9920542184273
106,940.5327089508288
107,901.4065482584743
108,947.3782822196565
109,849.419367838144
110,737.4658951570766
111,805.8289836381376
112,850.9554067218734
113,918.5212660155901
114,1004.4030043880477
115,1079.6327894167125
116,1148.6213246604405
117,1063.967933032966
118,1415.3965413137546
119,1614.9674536389944
120,1544.8778661510619
121,2568.9774036226013
122,2605.970678234766
123,2634.6363556953484
124,2586.4225103861236
125,2448.0489060804657
126,2313.161411355432
127,2299.74507516957
128,2479.8151145553475
129,2705.72627149134
130,2677.3161456406806
131,3352.5352775712604
132,3319.345178323305
133,3539.085829128308
134,4299.281465225068
135,4479.851286764521
136,5751.681067076969
137,6260.704841513281
138,6988.824814581276
139,6526.164611855996
140,8345.659305641448
141,8383.214772516832
142,7918.7846741194
143,8256.916779704297
144,8530.22072511251
145,9082.979028099799
146,10372.76205008997
147,10798.045294143658
148,12379.958929735705
149,13786.32226415368
150,14293.658923474533
151,13231.640065460375
152,14581.267352137334
153,13388.5196827325
154,14411.402586493265
155,16833.95936128278
156,17810.32900423718
157,16882.41086311642
158,17356.806608369996
159,17362.013650352506
160,17853.358636657482
161,18051.530917524382
162,18556.973783215064
163,16235.496362934859
164,15602.3120047804
165,17711.74458782671
166,17598.389422464617
167,15157.492809568776
168,17115.84088056506
169,19222.800892962616
170,20553.018714755628
171,23062.542299827295
172,26888.618067368643
173,22798.85925932187
174,29212.178368969115
175,28849.947357193898
176,29972.210309388734
177,32630.745363831516
178,26186.173154474793
179,27204.81529018386
180,24911.44936122136
181,24216.419924043283
182,27010.994783277878
183,29350.146931509742
184,26556.012943630016
185,24880.328526886962
186,26243.770530160364
187,25913.099021480346
188,26203.325730520926
189,25312.412655683213
190,25158.006938483544
191,25293.86017595136
192,25589.79834000999
193,23836.897153719307
194,24356.541511670388
195,24344.363240914554
196,27772.049585235323
197,26808.359464627658
198,28958.3898936908
199,29271.140504542655
200,27699.28025944872
201,34200.30133634133
202,32271.40434097168
203,27566.233588058007
204,27888.758521038286
205,34074.48516100457
206,33931.37232332835
207,37650.25072996514
208,38546.326697338314
209,40388.84111347109
210,43143.36007740982
211,49869.40991347801
212,48562.831373744884
213,49436.962338472295
214,57421.03175613557
215,70490.05858383204
216,72350.9961304452
217,74152.53593409329
218,75717.15444230264
219,80396.47458683695
220,75170.70373869255
221,103269.51279621583
222,99861.61887394071
223,102278.27005069007
224,120903.14302692073
225,134214.5790741847
226,144401.46562591533
227,148401.38622375322
228,148935.63121415873
229,151824.9824597134
230,156091.26446683137
231,157246.33982388594
232,162026.62855453207
233,165234.7557999118
234,162739.71098733312
235,170193.189750553
236,189101.65313183944
237,192770.22520259712
238,213531.57845691682
239,267918.0714898935
240,357831.3762819017
241,367707.52226728224
242,430070.7180438133
243,402976.26280705305
244,410189.5379112993
245,385250.01400629233
246,406092.0397640328
247,393828.060163159
248,387329.8971704669
249,381791.0796409292
250,441884.9955764114
251,387223.82162360934
252,413980.98769780074
253,414601.95917934744
254,435166.2163546431
255,418368.80040335393
256,393308.5092591931
257,389572.0784212307
258,383767.45445275435
259,436228.46547644597
260,496035.38809326664
261,534130.9058988296
262,639141.0419985395
263,750862.8961398843
264,652574.9430351733
265,623470.1005758046
266,606324.67280997
267,647069.6908227999
268,673405.4272392878
269,673405.4272392878
270,735156.7049171305
271,724423.4170253404
272,679219.3958029591
273,626172.3609907479
274,629553.6917400981
275,644662.9803418604
276,702811.5811686962
277,857500.4101839262
278,827916.6460325808
279,935214.6433584032
280,979824.381846599
281,974337.3653082581
282,1054622.7642096586
283,1081199.2578677419
284,1113959.5953811344
285,1178012.2721155498
286,1087776.5320714987
287,1342533.7958826437
288,1306419.6367734005
289,1475731.621699233
290,1552764.8123519332
291,1583354.2791552662
292,1604254.5556401159
293,1669868.5669657968
294,1764550.1147127573
295,1720612.8168564094
296,1794082.9841361782
297,2028031.405267536
298,2026003.3738622684
299,2456326.4904706143
300,2457800.286364896
301,2382837.377630767
302,2418818.2220329912
303,2334401.46608404
304,2446219.296309465
305,2667357.520695841
306,2353943.01201408
307,2325460.30156871
308,2478940.6814722447
309,2562480.9824378598
310,2602199.4376656464
311,2844724.4252560847
312,2840741.8110607266
313,2826822.176186529
314,2531136.576557418
315,2552904.3511158116
316,2691271.7669462888
317,3011802.2343895915
318,2977768.869140989
319,3252914.712649617
320,3190784.041638009
321,3390527.122644549
322,3819428.803659084
323,4409530.553824413
324,4406443.882436735
325,5116762.636285536
326,4770869.482072634
327,4412577.18396898
328,4170767.9542874796
329,4207053.63548978
330,4344624.2893702965
331,4277717.075313995
332,3757974.4506633445
333,3766993.589344936
334,3864558.7233089698
335,3845622.3855647556
336,4631283.038935635
337,5083296.263535754
338,5019246.730615203
339,5049362.210998895
340,5247802.14589115
341,4788619.458125675
342,4499865.704800697
343,4102077.5764963147
344,4568483.796943946
345,5185229.109531378
346,4966930.964020107
347,4573550.0316697145
348,4630262.052062418
349,4378375.796430223
350,4553072.99070779
351,4787100.94243017
352,4682263.43179095
353,5062463.222452374
354,5185987.325080212
355,5036112.291385394
356,5282881.793663278
357,4735575.239839762
358,5015447.736514292
359,5408157.294283361
360,5270249.283279136
361,5380397.49329967
362,5334126.074857293
363,4904195.513223794
364,4981191.382781408
365,4617066.292700087
366,4841917.421154581
367,5080139.758275385
368,6142396.981730768
369,6536124.628259711
370,6759006.478083367
371,5524135.994537536
372,5335210.543524353
373,5520342.349384647
374,5282967.628361107
375,5588851.454043216
376,5763223.619409364
377,5717117.830454089
378,5800587.750778718
379,5710098.58186657
380,6391313.342683251
381,6885361.8640726665
382,7505732.9680256145
383,7739161.26333121
384,7565030.134906258
385,7716330.737604383
386,7751054.225923603
387,7659591.786057705
388,8012698.967394966
389,7879688.164536209
390,7924602.387074066
391,7808903.192222784
392,8154056.713319032
393,8265767.290291504
394,8071521.758969653
395,8416175.738077657
396,8030714.889273702
397,8209799.8313045055
398,7678625.7822191045
399,7493570.900867624
400,7185585.136841964
401,7153968.56223986
402,7242677.772411634
403,7697517.9365190845
404,7338043.848883644
405,7903807.029632573
406,8178069.133560823
407,8842946.154119318
408,8483038.245646663
409,9604495.901721152
410,10265285.219759565
411,10396680.870572489
412,10648280.547640342
413,9499331.07654995
414,9449934.55495189
415,9831711.910971945
416,9305715.323734947
417,8712010.686080657
418,8305159.78704069
419,8459635.759079646
420,9595764.841524044
421,9556422.205673793
422,9258261.832856772
423,8930519.363973642
424,8312527.423986665
425,7906044.832953718
426,7948737.475051668
427,8594969.831773369
428,7965818.0400875565
429,8048662.547704467
430,8262756.971473405
431,8492461.615280366
