year,ticker,announce_date,surprise_pct,eps_actual,eps_estimate,direction,return
2017,ADANIPOWER,2017-08-10,0.25,-0.24,-0.32,long,0.1479
2017,ADANIPOWER,2017-11-11,1.7143,0.15,-0.21,long,0.0049
2018,ADANIPOWER,2018-05-03,0.6222,-0.34,-0.9,long,-0.2703
2018,ADANIPOWER,2018-08-06,0.4189,-0.43,-0.74,long,0.0677
2018,ADANIPOWER,2018-10-31,1.7143,0.2,-0.28,long,0.1514
2018,RECLTD,2018-05-28,0.2939,3.17,2.45,long,-0.1674
2019,ADANIPOWER,2019-05-29,2.0833,0.26,-0.24,long,0.1687
2019,RECLTD,2019-08-06,0.1826,5.7,4.82,long,0.1071
2020,ADANIPORTS,2020-08-11,0.1407,3.73,3.27,long,0.0028
2020,ADANIPORTS,2020-11-03,0.1308,6.83,6.04,long,0.2554
2020,AMBUJACEM,2020-07-24,0.7405,2.28,1.31,long,0.0651
2020,AMBUJACEM,2020-10-22,0.2402,2.22,1.79,long,0.1142
2020,APOLLOHOSP,2020-09-14,0.5588,-10.72,-24.3,long,0.3058
2020,APOLLOHOSP,2020-11-11,1.8718,2.04,-2.34,long,0.1157
2020,ASIANPAINT,2020-07-24,0.2955,2.28,1.76,long,0.1077
2020,ASIANPAINT,2020-10-22,0.3282,8.66,6.52,long,0.0317
2020,BANKBARODA,2020-10-29,0.3802,3.63,2.63,long,0.288
2020,BEL,2020-11-06,1.0,0.54,0.27,long,0.2559
2020,BERGEPAINT,2020-11-05,0.5447,1.9,1.23,long,0.0338
2020,BOSCHLTD,2020-02-05,0.3826,100.5,72.69,long,-0.1363
2020,BPCL,2020-10-29,0.607,5.93,3.69,long,0.0691
2020,BRITANNIA,2020-07-17,0.3426,22.69,16.9,long,-0.0279
2020,CANBK,2020-08-05,2.4737,0.56,-0.38,long,-0.0064
2020,CANBK,2020-10-29,2.6944,0.61,-0.36,long,0.2739
2020,CHOLAFIN,2020-07-30,1.287,5.26,2.3,long,0.1457
2020,CHOLAFIN,2020-10-29,0.3175,5.27,4.0,long,0.3706
2020,CIPLA,2020-08-07,0.7855,7.16,4.01,long,-0.0865
2020,CIPLA,2020-11-06,0.1755,8.24,7.01,long,-0.002
2020,COLPAL,2020-07-29,0.2398,7.29,5.88,long,-0.0506
2020,DIVISLAB,2020-08-08,0.5476,18.54,11.98,long,0.0116
2020,DIVISLAB,2020-11-07,0.2477,19.34,15.5,long,0.0871
2020,DLF,2020-08-05,0.275,-0.29,-0.4,long,0.0656
2020,DLF,2020-10-30,5.0,1.15,0.04,long,0.2178
2020,DRREDDY,2020-07-29,0.1794,6.97,5.91,long,-0.0568
2020,DRREDDY,2020-10-28,0.2325,9.17,7.44,long,-0.0236
2020,GAIL,2020-11-10,0.2449,1.83,1.47,long,0.353
2020,GRASIM,2020-11-12,5.0,5.48,-1.0,long,0.0823
2020,HAVELLS,2020-07-27,2.9057,1.01,-0.53,long,0.1331
2020,HAVELLS,2020-10-29,1.5441,5.19,2.04,long,0.1302
2020,HINDALCO,2020-02-12,0.78,0.89,0.5,long,-0.4087
2020,HINDALCO,2020-06-12,0.225,1.47,1.2,long,0.1334
2020,HINDALCO,2020-11-09,1.4344,7.79,3.2,long,0.2608
2020,HINDPETRO,2020-08-06,0.5141,12.31,8.13,long,-0.0766
2020,HINDPETRO,2020-11-04,0.4829,10.84,7.31,long,0.0548
2020,ICICIBANK,2020-10-31,0.3159,6.29,4.78,long,0.1499
2020,INDUSINDBK,2020-07-28,0.3307,6.64,4.99,long,0.2082
2020,INDUSINDBK,2020-10-30,0.5801,9.07,5.74,long,0.427
2020,IOC,2020-10-30,1.1422,4.52,2.11,long,0.1294
2020,IRCTC,2020-11-12,2.4643,0.41,-0.28,long,0.0636
2020,JINDALSTEL,2020-07-22,3.1566,1.79,-0.83,long,0.3137
2020,JINDALSTEL,2020-10-30,2.7615,9.78,2.6,long,0.357
2020,JSWENERGY,2020-05-20,1.129,0.66,0.31,long,0.2543
2020,JSWSTEEL,2020-10-23,0.5653,6.59,4.21,long,0.0961
2020,KOTAKBANK,2020-10-26,0.5786,2.21,1.4,long,0.1889
2020,MARICO,2020-07-27,0.2673,2.56,2.02,long,0.0341
2020,MARICO,2020-10-28,0.2594,2.67,2.12,long,0.0393
2020,MARUTI,2020-07-29,0.4605,-8.26,-15.31,long,0.1005
2020,MUTHOOTFIN,2020-08-19,0.3261,17.81,13.43,long,-0.1225
2020,NAUKRI,2020-09-07,0.5341,1.35,0.88,long,0.0432
2020,NTPC,2020-11-02,0.4708,4.03,2.74,long,0.1456
2020,OBEROIRLTY,2020-07-14,0.9942,6.9,3.46,long,-0.0209
2020,OBEROIRLTY,2020-10-17,0.1381,3.79,3.33,long,0.1624
2020,OFSS,2020-02-04,0.2491,53.0,42.43,long,-0.1469
2020,OFSS,2020-08-11,0.9013,55.65,29.27,long,-0.0431
2020,ONGC,2020-09-01,1.8478,0.39,-0.46,long,-0.1392
2020,ONGC,2020-11-13,0.8634,3.0,1.61,long,0.3961
2020,PAGEIND,2020-11-12,0.7224,99.4,57.71,long,0.0986
2020,PIDILITIND,2020-11-04,0.4444,3.51,2.43,long,0.0152
2020,PNB,2020-08-21,1.541,0.33,-0.61,long,-0.1696
2020,PNB,2020-11-02,5.0,0.66,0.04,long,0.2868
2020,POWERGRID,2020-08-10,0.1562,2.96,2.56,long,0.0262
2020,RELIANCE,2020-10-30,0.154,5.02,4.35,long,0.042
2020,SHRIRAMFIN,2020-10-29,0.3865,5.56,4.01,long,0.4856
2020,SIEMENS,2020-11-25,0.5726,9.2,5.85,long,0.0361
2020,SRF,2020-11-04,0.5959,10.98,6.88,long,0.1018
2020,SUNPHARMA,2020-07-31,1.3081,8.24,3.57,long,-0.0085
2020,SUNPHARMA,2020-11-03,0.5556,7.56,4.86,long,0.1266
2020,TATACONSUM,2020-08-04,0.4381,3.02,2.1,long,0.2703
2020,TATACONSUM,2020-11-06,0.3128,2.98,2.27,long,0.1081
2020,TATASTEEL,2020-11-13,5.0,1.28,-0.17,long,0.2724
2020,TECHM,2020-07-27,0.2798,11.07,8.65,long,0.0739
2020,TORNTPHARM,2020-07-30,0.46,9.49,6.5,long,-0.0018
2020,TVSMOTOR,2020-10-29,0.1223,4.13,3.68,long,0.0975
2020,ULTRACEMCO,2020-07-28,0.486,31.4,21.13,long,-0.0293
2020,ULTRACEMCO,2020-10-21,0.319,38.25,29.0,long,0.0586
2020,UPL,2020-07-30,0.7453,7.47,4.28,long,0.0695
2020,UPL,2020-10-30,0.2063,8.36,6.93,long,-0.0086
2020,VEDL,2020-10-03,2.4625,2.77,0.8,long,-0.2652
2020,VOLTAS,2020-08-14,0.225,2.45,2.0,long,0.0907
2020,WIPRO,2020-07-14,0.1413,2.1,1.84,long,0.0513
2020,ZYDUSLIFE,2020-08-05,0.1782,4.43,3.76,long,-0.0484
2020,ZYDUSLIFE,2020-11-02,0.2617,5.64,4.47,long,0.0568
2021,AMBUJACEM,2021-04-29,0.3347,3.35,2.51,long,0.0564
2021,APOLLOHOSP,2021-02-12,0.9706,9.38,4.76,long,-0.0312
2021,APOLLOHOSP,2021-08-13,0.5456,16.94,10.96,long,0.1025
2021,ASIANPAINT,2021-01-21,0.3518,12.91,9.55,long,-0.0817
2021,BANKBARODA,2021-01-27,0.4839,2.3,1.55,long,0.2477
2021,BANKBARODA,2021-11-10,0.4585,4.04,2.77,long,-0.0815
2021,BEL,2021-10-29,0.371,0.85,0.62,long,0.0254
2021,BOSCHLTD,2021-05-20,0.5609,163.4,104.68,long,-0.0135
2021,BPCL,2021-02-09,0.548,7.74,5.0,long,0.1432
2021,BPCL,2021-05-27,1.3927,11.82,4.94,long,-0.0102
2021,BPCL,2021-10-29,0.5385,7.4,4.81,long,-0.1162
2021,CANBK,2021-01-27,3.0435,0.93,0.23,long,0.2241
2021,CANBK,2021-05-18,0.7571,1.23,0.7,long,0.0058
2021,CANBK,2021-07-27,0.402,1.43,1.02,long,0.0573
2021,DLF,2021-07-26,0.5281,1.36,0.89,long,-0.0824
2021,DRREDDY,2021-10-29,0.4478,11.93,8.24,long,-0.0416
2021,GAIL,2021-02-10,0.5852,2.79,1.76,long,0.051
2021,GAIL,2021-06-09,0.7037,3.68,2.16,long,-0.1034
2021,GAIL,2021-10-29,0.3313,4.3,3.23,long,-0.1318
2021,HAVELLS,2021-07-21,0.4385,3.74,2.6,long,0.0927
2021,HINDALCO,2021-08-06,0.434,14.34,10.0,long,0.056
2021,HINDPETRO,2021-02-04,0.5073,10.34,6.86,long,0.0794
2021,HINDPETRO,2021-05-20,1.8316,13.62,4.81,long,0.0935
2021,IOC,2021-05-19,0.6719,6.37,3.81,long,0.0749
2021,IOC,2021-07-30,0.4415,4.31,2.99,long,0.0639
2021,IOC,2021-10-30,0.6739,4.62,2.76,long,-0.0737
2021,IRCTC,2021-01-28,1.2273,0.98,0.44,long,0.3303
2021,JINDALSTEL,2021-01-21,0.679,23.54,14.02,long,0.141
2021,JINDALSTEL,2021-08-10,0.3686,33.9,24.77,long,-0.0434
2021,JSWENERGY,2021-06-25,1.8261,0.65,0.23,long,0.6629
2021,LUPIN,2021-01-28,0.4038,9.7,6.91,long,0.0144
2021,LUPIN,2021-05-12,0.4219,10.11,7.11,long,0.011
2021,NESTLEIND,2021-02-16,5.0,50.12,2.92,long,-0.0183
2021,ONGC,2021-06-24,0.4538,3.78,2.6,long,-0.0535
2021,ONGC,2021-11-12,1.6606,14.58,5.48,long,-0.0551
2021,PAGEIND,2021-11-11,0.3751,143.88,104.63,long,-0.0058
2021,PIDILITIND,2021-08-11,0.3822,2.17,1.57,long,0.0783
2021,PNB,2021-02-05,5.0,0.53,-0.05,long,0.0911
2021,PNB,2021-06-04,1.7273,0.56,-0.77,long,-0.0105
2021,SAIL,2021-01-29,0.6757,3.1,1.85,long,0.2522
2021,SBIN,2021-02-04,0.7219,5.82,3.38,long,-0.0099
2021,SUNPHARMA,2021-01-29,0.4088,7.72,5.48,long,0.0662
2021,TATAPOWER,2021-05-12,0.8415,1.51,0.82,long,0.2148
2021,TATASTEEL,2021-02-09,0.5634,3.33,2.13,long,0.042
2021,TRENT,2021-02-04,2.4651,1.49,0.43,long,0.2839
