holding,top_pct,long_only,cost_bps,avg_sharpe,avg_return,avg_win_rate,n_folds
30,0.25,True,10,1.779,0.0438,0.694,10
30,0.25,True,20,1.745,0.0428,0.691,10
42,0.25,True,10,1.736,0.044,0.606,10
42,0.25,True,20,1.708,0.043,0.603,10
30,0.33,True,10,1.032,0.0333,0.624,10
30,0.33,True,20,0.999,0.0323,0.622,10
21,0.33,True,10,0.821,0.0207,0.576,10
42,0.33,True,10,0.775,0.035,0.623,10
21,0.33,True,20,0.773,0.0197,0.57,10
21,0.25,True,10,0.769,0.0219,0.539,10
42,0.33,True,20,0.75,0.034,0.62,10
63,0.25,True,10,0.738,0.053,0.629,10
21,0.25,True,20,0.728,0.0209,0.533,10
63,0.25,True,20,0.722,0.052,0.627,10
63,0.33,True,10,0.559,0.041,0.603,10
63,0.33,True,20,0.542,0.04,0.601,10
30,0.33,False,10,0.132,0.0057,0.533,10
30,0.25,False,10,0.125,0.0026,0.543,10
30,0.2,False,10,0.111,0.0015,0.538,10
21,0.33,False,10,0.103,0.002,0.488,10
30,0.33,False,20,0.101,0.0047,0.531,10
30,0.25,False,20,0.097,0.0016,0.54,10
30,0.2,False,20,0.084,0.0005,0.536,10
42,0.33,False,10,0.068,0.0046,0.537,10
21,0.33,False,20,0.06,0.001,0.482,10
42,0.33,False,20,0.045,0.0036,0.534,10
42,0.2,False,10,0.036,0.002,0.505,10
42,0.25,False,10,0.025,0.0002,0.496,10
42,0.2,False,20,0.016,0.001,0.502,10
42,0.25,False,20,0.005,-0.0008,0.492,10
63,0.33,False,10,-0.0,-0.0002,0.496,10
63,0.25,False,10,-0.013,-0.0035,0.497,10
63,0.33,False,20,-0.014,-0.0012,0.494,10
63,0.25,False,20,-0.026,-0.0045,0.495,10
63,0.2,False,10,-0.027,-0.0029,0.493,10
63,0.2,False,20,-0.041,-0.0039,0.491,10
21,0.25,False,10,-0.042,-0.0034,0.436,10
21,0.25,False,20,-0.082,-0.0044,0.429,10
21,0.2,False,10,-0.108,-0.0049,0.419,10
21,0.2,False,20,-0.147,-0.0058,0.41,10
21,0.2,True,10,,0.0201,0.508,10
21,0.2,True,20,,0.0191,0.499,10
30,0.2,True,10,,0.0508,0.708,10
30,0.2,True,20,,0.0498,0.708,10
42,0.2,True,10,,0.058,0.658,10
42,0.2,True,20,,0.057,0.653,10
63,0.2,True,10,,0.0611,0.648,10
63,0.2,True,20,,0.0601,0.648,10
