threshold,holding,spread_cost,n_trades,win_rate,avg_return,sharpe,max_dd
0.1,3,0.01,8,0.375,-0.0163,-1.559,-0.126
0.3,3,0.01,7,0.429,-0.0064,-1.591,-0.044
0.25,3,0.01,7,0.429,-0.0064,-1.591,-0.044
0.2,3,0.01,7,0.429,-0.0064,-1.591,-0.044
0.15,3,0.01,7,0.429,-0.0064,-1.591,-0.044
0.1,3,0.02,8,0.0,-0.0263,-2.518,-0.174
0.1,1,0.01,8,0.0,-0.0275,-3.274,-0.19
0.05,3,0.01,20,0.35,-0.0174,-3.318,-0.29
0.1,7,0.01,8,0.0,-0.0413,-3.591,-0.278
0.15,7,0.01,7,0.0,-0.0321,-3.977,-0.194
0.2,7,0.01,7,0.0,-0.0321,-3.977,-0.194
0.3,7,0.01,7,0.0,-0.0321,-3.977,-0.194
0.25,7,0.01,7,0.0,-0.0321,-3.977,-0.194
0.3,3,0.02,7,0.0,-0.0164,-4.066,-0.087
0.15,3,0.02,7,0.0,-0.0164,-4.066,-0.087
0.25,3,0.02,7,0.0,-0.0164,-4.066,-0.087
0.2,3,0.02,7,0.0,-0.0164,-4.066,-0.087
0.1,7,0.02,8,0.0,-0.0513,-4.462,-0.33
0.1,30,0.01,8,0.0,-0.0375,-4.465,-0.246
0.1,14,0.01,8,0.0,-0.0375,-4.465,-0.246
0.1,1,0.02,8,0.0,-0.0375,-4.465,-0.246
0.15,7,0.02,7,0.0,-0.0421,-5.215,-0.242
0.2,7,0.02,7,0.0,-0.0421,-5.215,-0.242
0.25,7,0.02,7,0.0,-0.0421,-5.215,-0.242
0.3,7,0.02,7,0.0,-0.0421,-5.215,-0.242
0.05,3,0.02,20,0.0,-0.0274,-5.221,-0.415
0.1,3,0.05,8,0.0,-0.0563,-5.395,-0.336
0.05,1,0.01,20,0.15,-0.0251,-5.603,-0.4
0.1,30,0.02,8,0.0,-0.0475,-5.656,-0.299
0.1,14,0.02,8,0.0,-0.0475,-5.656,-0.299
0.05,30,0.01,20,0.0,-0.0507,-5.858,-0.643
0.05,14,0.01,20,0.0,-0.0507,-5.858,-0.643
0.05,30,0.02,20,0.0,-0.0607,-7.014,-0.708
0.05,14,0.02,20,0.0,-0.0607,-7.014,-0.708
0.1,7,0.05,8,0.0,-0.0813,-7.074,-0.465
0.05,1,0.02,20,0.0,-0.0351,-7.838,-0.5
0.05,7,0.01,20,0.0,-0.04,-7.917,-0.554
0.1,1,0.05,8,0.0,-0.0675,-8.037,-0.396
0.3,7,0.05,7,0.0,-0.0721,-8.927,-0.374
0.15,7,0.05,7,0.0,-0.0721,-8.927,-0.374
0.25,7,0.05,7,0.0,-0.0721,-8.927,-0.374
0.2,7,0.05,7,0.0,-0.0721,-8.927,-0.374
0.1,30,0.05,8,0.0,-0.0775,-9.228,-0.44
0.1,14,0.05,8,0.0,-0.0775,-9.228,-0.44
0.3,1,0.01,7,0.0,-0.0193,-9.546,-0.114
0.25,1,0.01,7,0.0,-0.0193,-9.546,-0.114
0.2,1,0.01,7,0.0,-0.0193,-9.546,-0.114
0.15,1,0.01,7,0.0,-0.0193,-9.546,-0.114
0.05,7,0.02,20,0.0,-0.05,-9.895,-0.635
0.05,30,0.05,20,0.0,-0.0907,-10.482,-0.843
0.05,14,0.05,20,0.0,-0.0907,-10.482,-0.843
0.05,3,0.05,20,0.0,-0.0574,-10.933,-0.678
0.3,3,0.05,7,0.0,-0.0464,-11.49,-0.242
0.15,3,0.05,7,0.0,-0.0464,-11.49,-0.242
0.25,3,0.05,7,0.0,-0.0464,-11.49,-0.242
0.2,3,0.05,7,0.0,-0.0464,-11.49,-0.242
0.3,30,0.01,7,0.0,-0.0293,-14.496,-0.167
0.3,14,0.01,7,0.0,-0.0293,-14.496,-0.167
0.25,30,0.01,7,0.0,-0.0293,-14.496,-0.167
0.25,14,0.01,7,0.0,-0.0293,-14.496,-0.167
0.3,1,0.02,7,0.0,-0.0293,-14.496,-0.167
0.2,1,0.02,7,0.0,-0.0293,-14.496,-0.167
0.25,1,0.02,7,0.0,-0.0293,-14.496,-0.167
0.2,30,0.01,7,0.0,-0.0293,-14.496,-0.167
0.15,1,0.02,7,0.0,-0.0293,-14.496,-0.167
0.2,14,0.01,7,0.0,-0.0293,-14.496,-0.167
0.15,30,0.01,7,0.0,-0.0293,-14.496,-0.167
0.15,14,0.01,7,0.0,-0.0293,-14.496,-0.167
0.05,1,0.05,20,0.0,-0.0651,-14.541,-0.726
0.05,7,0.05,20,0.0,-0.08,-15.83,-0.802
0.2,14,0.02,7,0.0,-0.0393,-19.445,-0.217
0.15,30,0.02,7,0.0,-0.0393,-19.445,-0.217
0.3,14,0.02,7,0.0,-0.0393,-19.445,-0.217
0.15,14,0.02,7,0.0,-0.0393,-19.445,-0.217
0.25,30,0.02,7,0.0,-0.0393,-19.445,-0.217
0.25,14,0.02,7,0.0,-0.0393,-19.445,-0.217
0.3,30,0.02,7,0.0,-0.0393,-19.445,-0.217
0.2,30,0.02,7,0.0,-0.0393,-19.445,-0.217
0.2,1,0.05,7,0.0,-0.0593,-29.345,-0.31
0.3,1,0.05,7,0.0,-0.0593,-29.345,-0.31
0.25,1,0.05,7,0.0,-0.0593,-29.345,-0.31
0.15,1,0.05,7,0.0,-0.0593,-29.345,-0.31
0.15,30,0.05,7,0.0,-0.0693,-34.295,-0.353
0.15,14,0.05,7,0.0,-0.0693,-34.295,-0.353
0.3,14,0.05,7,0.0,-0.0693,-34.295,-0.353
0.2,14,0.05,7,0.0,-0.0693,-34.295,-0.353
0.2,30,0.05,7,0.0,-0.0693,-34.295,-0.353
0.25,14,0.05,7,0.0,-0.0693,-34.295,-0.353
0.25,30,0.05,7,0.0,-0.0693,-34.295,-0.353
0.3,30,0.05,7,0.0,-0.0693,-34.295,-0.353
