job_id,strategy,lookback,entry_day,yes_threshold,no_threshold,min_days_left,sharpe,avg_return,max_drawdown,win_rate,n_bets,avg_hold_days
802,calibration,3,7,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
819,calibration,3,14,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
818,calibration,3,14,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
820,calibration,3,14,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
771,calibration,3,1,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
933,calibration,14,7,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
930,calibration,14,7,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
932,calibration,14,7,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
853,calibration,7,3,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
882,calibration,7,14,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
884,calibration,7,14,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
899,calibration,14,1,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
821,calibration,3,14,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
804,calibration,3,7,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
805,calibration,3,7,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
803,calibration,3,7,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
851,calibration,7,3,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
850,calibration,7,3,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
931,calibration,14,7,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
898,calibration,14,1,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
900,calibration,14,1,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
835,calibration,7,1,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
901,calibration,14,1,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
836,calibration,7,1,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
837,calibration,7,1,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
868,calibration,7,7,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
866,calibration,7,7,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
786,calibration,3,3,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
772,calibration,3,1,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
770,calibration,3,1,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
834,calibration,7,1,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
883,calibration,7,14,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
867,calibration,7,7,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
869,calibration,7,7,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
788,calibration,3,3,0.6,0.4,1,4.2545,0.1894,0.0,1.0,17,66.1
789,calibration,3,3,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
787,calibration,3,3,0.6,0.35,7,4.2545,0.1894,0.0,1.0,17,66.1
773,calibration,3,1,0.6,0.4,7,4.2545,0.1894,0.0,1.0,17,66.1
1010,calibration,30,14,0.6,0.35,1,4.2545,0.1894,0.0,1.0,17,66.1
