holding,top_pct,long_only,cost_bps,avg_sharpe,avg_return,avg_win_rate,n_folds
30,0.2,True,5,0.792,0.0243,0.579,14
30,0.2,True,10,0.774,0.0238,0.573,14
30,0.33,True,5,0.743,0.0207,0.578,14
30,0.25,True,5,0.737,0.0216,0.575,14
30,0.33,True,10,0.723,0.0202,0.574,14
63,0.33,True,5,0.72,0.0376,0.614,14
30,0.25,True,10,0.719,0.0211,0.57,14
63,0.25,True,5,0.718,0.0379,0.606,14
63,0.33,True,10,0.71,0.0371,0.614,14
63,0.25,True,10,0.709,0.0374,0.606,14
63,0.2,True,5,0.67,0.0368,0.599,14
63,0.2,True,10,0.661,0.0363,0.599,14
42,0.25,True,5,0.624,0.0255,0.575,14
42,0.25,True,10,0.611,0.025,0.573,14
42,0.33,True,5,0.608,0.0242,0.574,14
42,0.33,True,10,0.594,0.0237,0.572,14
42,0.2,True,5,0.583,0.0247,0.569,14
42,0.2,True,10,0.569,0.0242,0.566,14
21,0.2,True,5,0.561,0.0126,0.56,14
21,0.2,True,10,0.536,0.0121,0.557,14
21,0.33,True,5,0.509,0.0106,0.556,14
21,0.25,True,5,0.509,0.0111,0.553,14
21,0.25,True,10,0.483,0.0106,0.549,14
21,0.33,True,10,0.482,0.0101,0.552,14
63,0.33,False,5,0.021,0.0009,0.492,14
63,0.33,False,10,0.011,0.0004,0.491,14
63,0.25,False,5,-0.003,-0.0009,0.482,14
63,0.25,False,10,-0.012,-0.0014,0.481,14
63,0.2,False,5,-0.019,-0.001,0.48,14
30,0.2,False,5,-0.024,0.0006,0.468,14
63,0.2,False,10,-0.028,-0.0015,0.479,14
30,0.2,False,10,-0.041,0.0001,0.46,14
42,0.25,False,5,-0.083,-0.0027,0.475,14
21,0.2,False,5,-0.085,-0.0002,0.475,14
30,0.33,False,5,-0.085,-0.0025,0.468,14
42,0.2,False,5,-0.086,-0.0024,0.475,14
30,0.25,False,5,-0.089,-0.0024,0.462,14
42,0.33,False,5,-0.091,-0.0032,0.478,14
42,0.25,False,10,-0.096,-0.0032,0.473,14
42,0.2,False,10,-0.099,-0.0029,0.473,14
30,0.33,False,10,-0.103,-0.003,0.461,14
42,0.33,False,10,-0.105,-0.0037,0.476,14
30,0.25,False,10,-0.106,-0.0029,0.455,14
21,0.2,False,10,-0.111,-0.0007,0.47,14
21,0.25,False,5,-0.134,-0.002,0.469,14
21,0.33,False,5,-0.149,-0.0027,0.473,14
21,0.25,False,10,-0.16,-0.0025,0.465,14
21,0.33,False,10,-0.176,-0.0032,0.469,14
